SAS_NAME,SESTAT_NAME,DESCRIPTION,SOURCE,QUESTION,DOMAIN,SAS_FMT
D35YR,Q_ED_3RD_HD_DEGREE_AWARD_YR_5_YR_GROUPING,Year of award of third highest degree (5 year intervals),CG0: SYSTEM/CGN: RECODE/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with three or more degrees,FIVE_YEAR_GROUP_CODES_2020_
D3ADV,Q_ED_3RD_DEGREE_REAS_ADVANCEMT,Reason for obtaining this degree: increase advancement opportunities,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,"For which of the following reasons did you obtain your 3rd highest degree? (Response to: 'To increase opportunities for promotion, advancement or higher salary')?",All respondents with three or more degrees,$YES_NO_CODES
D3AYR,Q_ED_3RD_HD_DEGREE_AWARD_ACADEMIC_YR,Academic year of award for third highest degree,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with three or more degrees,NUMERIC_FOUR
D3CAR,Q_ED_3RD_DEGREE_REAS_BEGIN_CAREER,Reason for obtaining this degree: further education before career,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 3rd highest degree? (Response to: 'To gain further education before beginning a career'),All respondents with three or more degrees,$YES_NO_CODES
D3CHG,Q_ED_3RD_DEGREE_REAS_CHG_FLD,Reason for obtaining this degree: change academic/occupational field,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 3rd highest degree? (Response to: 'To change your academic or occupational field'),All respondents with three or more degrees,$YES_NO_CODES
D3CRN21C,Q_ED_3RD_HD_SCHOOL_CARNEGIE_CLS_2021,Carnegie classification  for school awarding third highest degree - 2021 Carnegie code,SYSTEM,Derived within SESTAT from reported information,All respondents with at least three degrees,$CARN21C
D3DG,Q_ED_3RD_HD_DEGREE_TYPE,Third highest degree type,CG0: SYSTEM/CGN: D11.D3.C/CGNR: SYSTEM,What type of degree did you earn?,All respondents with three or more degrees,$DEGREE_CODES
D3DGRUS,Q_ED_3RD_HD_SCHOOL_REGION_US_NONUS,Location of school awarding third highest degree (U.S./Non-U.S.),CG0: SYSTEM/CGN: RECODE/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with three or more degrees,$US_NONUS_CODES
D3EM,Q_ED_3RD_DEGREE_REAS_EMPR_REQ,Reason for obtaining this degree: expected/required by employer,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 3rd highest degree? (Response to: 'Required or expected by employer'),All respondents with three or more degrees,$YES_NO_CODES
D3GRD,Q_ED_3RD_DEGREE_REAS_PREP_GRAD_SCHL,Reason for obtaining this degree: prepare for graduate school/further education,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 3rd highest degree? (Response to: 'To prepare for graduate school or further education'),All respondents with three or more degrees,$YES_NO_CODES
D3INCD,Q_ED_3RD_HD_SCHOOL_CODE,Institution code for school awarding third highest degree,RECODE,From which academic institution did you receive your 3rd highest degree (institution code)?,All respondents with three or more degrees,N/A
D3INT,Q_ED_3RD_DEGREE_REAS_PERSONL,Reason for obtaining this degree: leisure/personal interest,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 3rd highest degree? (Response to: 'For leisure or personal interest'),All respondents with three or more degrees,$YES_NO_CODES
D3LIC,Q_ED_3RD_DEGREE_REAS_LICENSING,Reason for obtaining this degree: licensure/certification,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 3rd highest degree? (Response to: 'For licensure or certification'),All respondents with three or more degrees,$YES_NO_CODES
